team,player,shot,airtime,arm_raised,jumping_point,jump_length,jump_angle, comment
F12,2,p51,0.380,"1,1",37.8,125.2,-20
F12,3,p51,0.360,"0,0",-22.4,133.1,-4
F12,4,p51,0.400,"1,1",20.7,167.1,-15
F12,1,p52,0.480,"1,1",15.1,257.1,-21
F12,2,p52,0.400,"1,1",34.0,110.8,-25
F12,3,p52,0.340,"1,1",14.0,127.5,-4
F12,4,p52,0.380,"1,1",40.6,189.5,-13
F12,1,p61,0.520,"1,1",30.2,258.5,-20
F12,2,p61,0.420,"1,1",50.9,141.5,-27
F12,3,p61,0.380,"0,0",12.4,133.8,-4
F12,4,p61,0.420,"1,1",30.0,171.3,-10
F12,1,p62,0.500,"0,0",45.4,208.8,-25
F12,2,p62,0.380,"1,1",51.2,118.8,-22
F12,3,p62,0.460,"0,0",13.8,139.0,-8
F12,4,p62,0.380,"1,1",41.8,170.9,-11




F13,1,f1,0.460,"1,1",-2.0,155.7,-2
F13,2,f1,0.340,"1,1",16.7,168.8,-22
F13,3,f1,0.460,"1,1",36.8,163.6,-35
F13,4,f1,0.460,"1,1",34.2,180.5,-10
F13,5,f1,0.500,"1,1",4.3,146.2,-16
F13,1,f2,0.420,"1,1",9.8,162.0,-11
F13,2,f2,0.420,"1,1",3.1,164.2,-24
F13,3,f2,0.460,"1,1",22.3,153.6,-30
F13,4,f2,0.460,"1,1",37.7,163.1,-8
F13,5,f2,0.460,"1,1",2.2,147.9,-7
F13,1,f3,0.500,"1,1",-10.7,145.7,-11
F13,2,f3,0.340,"1,1",-3.6,154.4,-19
F13,3,f3,0.540,"1,1",13.9,147.9,-28
F13,4,f3,0.500,"1,1",39.1,171.2,-5
F13,5,f3,0.580,"1,1",972.4,1050.3,-75
F13,1,f4,0.380,"1,1",-19.4,154.4,-6
F13,2,f4,0.380,"1,1",3.8,157.8,-21
F13,3,f4,0.420,"1,1",23.6,145.8,-28
F13,4,f4,0.460,"1,1",28.2,156.3,-3
F13,5,f4,0.540,"1,1",10.8,175.6,-20
F13,1,p11,0.380,"1,1",-8.4,168.8,-8
F13,2,p11,0.380,"1,1",2.7,170.2,-23
F13,3,p11,0.460,"1,1",19.3,152.2,-28
F13,4,p11,0.460,"1,1",38.5,168.5,-7
F13,5,p11,0.580,"1,1",3.6,189.3,-15
F13,1,p12,0.420,"1,1",-24.9,147.3,0
F13,2,p12,0.420,"1,1",-5.7,172.0,-24
F13,3,p12,0.420,"1,1",35.0,147.3,-37
F13,4,p12,0.380,"1,1",46.0,164.5,-5
F13,5,p12,0.500,"1,1",-10.5,191.9,-7
F13,1,p21,0.420,"1,1",12.2,167.0,-3
F13,2,p21,0.380,"1,1",20.6,192.1,-15
F13,3,p21,0.380,"1,1",31.8,138.4,-30
F13,4,p21,0.500,"1,1",49.7,170.0,-13
F13,5,p21,0.460,"1,1",21.6,199.7,-18
F13,1,p22,0.340,"1,1",0,108.8,-10, hoppade på högerfoten?? 
pF13,2,p22,0.340,"1,1",9.6,157.6,-21
F13,3,p22,0.340,"1,1",22.4,146.3,-26
F13,4,p22,0.460,"1,1",39.1,165.0,-11
F13,5,p22,0.500,"1,1",14.7,177.4,-17
F13,1,p31,0.420,"1,1",-11.2,173.3,-11
F13,2,p31,0.340,"1,1",15.2,168.8,-28
F13,3,p31,0.340,"1,1",37.3,147.4,-25
F13,4,p31,0.460,"1,1",47.7,173.5,-10
F13,5,p31,0.460,"0,0",18.3,178.2,-16
F13,1,p32,0.380,"1,1",23.6,152.9,0
F13,2,p32,0.300,"1,1",18.7,189.7,-21
F13,3,p32,0.420,"1,1",22.5,157.3,-24
F13,4,p32,0.380,"1,1",60.2,175.3,-12
F13,5,p32,0.420,"1,1",22.2,264.2,78
F13,1,p41,0.540,"1,1",10.5,138.2,-10
F13,2,p41,0.380,"1,1",22.3,156.5,-13
F13,3,p41,0.420,"1,1",15.9,141.8,-29
F13,4,p41,0.420,"0,0",36.5,154.9,-13
F13,5,p41,0.500,"1,1",22.9,146.4,-13
F13,1,p42,0.300,"1,1",3.5,135.4,-1
F13,2,p42,0.380,"1,1",12.6,155.7,-14
F13,3,p42,0.380,"1,1",37.1,135.9,-25
F13,4,p42,0.420,"1,1",47.9,149.3,-7
F13,5,p42,0.420,"1,1",16.8,165.5,-12
F13,1,p51,0.380,"1,1",6.0,140.9,7
F13,2,p51,0.340,"1,1",-12.2,153.3,-11
F13,3,p51,0.380,"1,1",23.1,139.9,-24
F13,4,p51,0.460,"1,1",49.5,159.7,-14
F13,5,p51,0.500,"1,1",9.6,174.1,-17
F13,1,p52,0.380,"1,1",6.0,147.4,-10
F13,2,p52,0.380,"1,1",23.3,147.0,-16
F13,3,p52,0.420,"1,1",31.4,143.0,-29
F13,4,p52,0.460,"0,0",45.3,179.3,-16
F13,5,p52,0.500,"1,1",-4.1,145.8,-10
F13,1,p61,0.300,"1,1",8.4,159.4,-2
F13,2,p61,0.340,"1,1",31.9,154.8,-12
F13,3,p61,0.340,"1,1",37.0,125.9,-14
F13,4,p61,0.560,"0,0",36.7,179.6,-8
F13,5,p61,0.500,"1,1",10.9,165.5,-19
F13,1,p62,0.340,"1,1",-3.2,136.5,3
F13,2,p62,0.340,"1,1",27.3,160.1,-19
F13,3,p62,0.420,"1,1",49.2,159.2,-37
F13,4,p62,0.460,"1,1",22.7,166.1,-6
F13,5,p62,0.460,"1,1",3.1,158.0,-12



F14,1,f1,0.380,"0,0",7.7,152.6,-10
F14,2,f1,0.360,"1,1",30.6,166.0,-18
F14,3,f1,0.520,"1,1",-38.4,211.0,-12
F14,4,f1,0.300,"1,1",14.8,180.9,4
F14,1,f2,0.320,"0,0",10.4,144.3,-15
F14,2,f2,0.360,"1,1",29.5,168.1,-18
F14,3,f2,0.500,"1,1",-12.3,208.8,-23
F14,4,f2,0.360,"1,1",10.7,184.5,-4
F14,1,f3,0.360,0,-,-,-
F14,2,f3,0.300,0,-,-,-
F14,3,f3,0.480,0,-,-,-
F14,4,f3,0.380,0,-,-,-
F14,1,f4,0.300,0,-,-,-
F14,2,f4,0.320,0,-,-,-
F14,3,f4,0.480,0,-,-,-
F14,4,f4,0.380,0,-,-,-
F14,1,p11,0.400,0,5,120,-22
F14,2,p11,0.320,0,12.3,191.0,-23
F14,3,p11,0.580,1,20,330.1,-29
F14,4,p11,0.400,2,13,273.5,-
F14,1,p12,0.320,0,212.8,190.0,-22
F14,2,p12,0.000,0,-,0.0,0
F14,3,p12,0.580,1,179.5,222.6,-9
F14,4,p12,0.380,0,276.1,211.9,-7

F14,1,p21,0.440,0,205.5,180.9,0
F14,2,p21,0.060,0,-,4.7,112
F14,3,p21,0.540,1,218.3,212.0,-22
F14,4,p21,0.380,0,212.6,181.9,-13
F14,1,p22,0.420,1,43.5,-,-
F14,2,p22,0.180,0,135.9,122.1,-
F14,3,p22,0.540,0,41.9,122.3,-47
F14,4,p22,0.400,0,138.2,126.0,-11

F14,1,p31,0.400,0,119.6,155.7,-3
F14,2,p31,0.060,0,-,-,-
F14,3,p31,0.560,1,123.3,164.1,-24
F14,4,p31,0.380,0,252.3,193.0,-13
F14,1,p32,0.420,1,123.3,19.5,-69
F14,2,p32,0.040,0,-,19.5,-69
F14,3,p32,0.580,1,94.3,165.2,-21
F14,4,p32,0.340,1,157.9,181.7,-14




F14,1,p41,0.400,0,185.9,129.6,-15
F14,2,p41,0.420,0,159.6,129.7,-19
F14,3,p41,0.600,0,223.0,156.5,-29
F14,4,p41,0.400,0,157.7,132.3,-10, 
F14,1,p42,0.360,1,90.7,138.4,-19
F14,2,p42,0.400,2,82.5,136.8,-16
F14,3,p42,0.580,0,27.7,203.2,-23
F14,4,p42,0.380,0,34.8,159.9,-11
F14,1,p51,0.380,0,-,-,-
